column;activityName;product;geography;;system process
1452;citric acid production;citric acid;CN;;1
1453;citric acid production;energy feed, gross;CN;;1
1454;citric acid production;maize starch;CN;;1
1455;citric acid production;protein feed, 100% crude;CN;;1
1456;citric acid production;citric acid;RoW;;1
1457;citric acid production;energy feed, gross;RoW;;1
1458;citric acid production;maize starch;RoW;;1
1459;citric acid production;protein feed, 100% crude;RoW;;1
1460;citric acid production;citric acid;RER;;1
1461;citric acid production;energy feed, gross;RER;;1
1462;citric acid production;maize starch;RER;;1
1463;citric acid production;protein feed, 100% crude;RER;;1
1464;citric acid production;citric acid;RNA;;1
1465;citric acid production;energy feed, gross;RNA;;1
1466;citric acid production;maize starch;RNA;;1
1467;citric acid production;protein feed, 100% crude;RNA;;1
1790;coffee green bean production, arabica;coffee, green bean;BR-SP;;1
1795;coffee green bean production, arabica, irrigated;coffee, green bean;BR-MG;;1
1796;coffee green bean production, arabica, manual;coffee, green bean;BR-MG;;1
1797;coffee green bean production, arabica, mechanized;coffee, green bean;BR-MG;;1
1799;coffee green bean production, arabica, semi-mechanized;coffee, green bean;BR-MG;;1
2259;dichloromethane production;dichloromethane;RoW;;1
2260;dichloromethane production;dichloromethane;RER;;1
5245;esters of versatic acid production;esters of versatic acid;RoW;;1
5246;esters of versatic acid production;esters of versatic acid;RER;;1
5523;fatty alcohol production, from coconut oil;fatty alcohol;RoW;;1
5524;fatty alcohol production, from coconut oil;fatty alcohol;RER;;1
5525;fatty alcohol production, from palm kernel oil;fatty alcohol;RoW;;1
5526;fatty alcohol production, from palm kernel oil;fatty alcohol;RER;;1
5527;fatty alcohol production, from palm oil;fatty alcohol;RoW;;1
5528;fatty alcohol production, from palm oil;fatty alcohol;RER;;1
5529;fatty alcohol production, petrochemical;fatty alcohol;RoW;;1
5530;fatty alcohol production, petrochemical;fatty alcohol;RER;;1
5712;fluorescent whitening agent production, DAS1, triazinylaminostilben type;fluorescent whitening agent, DAS1, triazinylaminostilben type;RoW;;1
5713;fluorescent whitening agent production, DAS1, triazinylaminostilben type;fluorescent whitening agent, DAS1, triazinylaminostilben type;RER;;1
5714;fluorescent whitening agent production, distyrylbiphenyl type;fluorescent whitening agent, distyrylbiphenyl type;RoW;;1
5715;fluorescent whitening agent production, distyrylbiphenyl type;fluorescent whitening agent, distyrylbiphenyl type;RER;;1
7257;hydrogen cyanide production;hydrogen cyanide;RoW;;1
7258;hydrogen cyanide production;hydrogen cyanide;RER;;1
8226;liquid packaging board production;bark;RoW;;1
8227;liquid packaging board production;lime, from liquid packaging board production;RoW;;1
8228;liquid packaging board production;liquid packaging board;RoW;;1
8229;liquid packaging board production;tall oil, crude;RoW;;1
8230;liquid packaging board production;turpentine;RoW;;1
8231;liquid packaging board production;bark;RER;;1
8232;liquid packaging board production;lime, from liquid packaging board production;RER;;1
8233;liquid packaging board production;liquid packaging board;RER;;1
8234;liquid packaging board production;tall oil, crude;RER;;1
8235;liquid packaging board production;turpentine;RER;;1
15935;methyl methacrylate production;methyl methacrylate;RoW;;1
15936;methyl methacrylate production;methyl methacrylate;RER;;1
15942;methylchloride production;methylchloride;RoW;;1
15943;methylchloride production;methylchloride;WEU;;1
15951;methylene diphenyl diisocyanate production, ISOPA;methylene diphenyl diisocyanate, ISOPA;RER;;1
16745;nylon 6 production;nylon 6;RoW;;1
16746;nylon 6 production;nylon 6;RER;;1
16747;nylon 6 production, glass-filled;nylon 6, glass-filled;RoW;;1
16748;nylon 6 production, glass-filled;nylon 6, glass-filled;RER;;1
16749;nylon 6-6 production;nylon 6-6;RoW;;1
16750;nylon 6-6 production;nylon 6-6;RER;;1
16751;nylon 6-6 production, glass-filled;nylon 6-6, glass-filled;RoW;;1
16752;nylon 6-6 production, glass-filled;nylon 6-6, glass-filled;RER;;1
17068;paraffin production;paraffin;RoW;;1
17069;paraffin production;paraffin;RER;;1
17071;particleboard production, cement bonded;particleboard, cement bonded;RoW;;1
17072;particleboard production, cement bonded;particleboard, cement bonded;RER;;1
17121;pentane production;pentane;RoW;;1
17122;pentane production;pentane;RER;;1
17660;polybutadiene production;polybutadiene;RoW;;1
17661;polybutadiene production;polybutadiene;RER;;1
17664;polycarboxylates production, 40% active substance;polycarboxylates, 40% active substance;RoW;;1
17665;polycarboxylates production, 40% active substance;polycarboxylates, 40% active substance;RER;;1
17675;polyether polyols production, long chain, ISOPA;polyether polyols, long chain, ISOPA;RER;;1
17678;polyether polyols production, short chain, ISOPA;polyether polyols, short chain, ISOPA;RER;;1
17721;polymethyl methacrylate production, beads;polymethyl methacrylate, beads;RoW;;1
17722;polymethyl methacrylate production, beads;polymethyl methacrylate, beads;RER;;1
17723;polymethyl methacrylate production, sheet;polymethyl methacrylate, sheet;RoW;;1
17724;polymethyl methacrylate production, sheet;polymethyl methacrylate, sheet;RER;;1
17738;polystyrene production, expandable;polystyrene, expandable;RoW;;1
17739;polystyrene production, expandable;polystyrene, expandable;RER;;1
17748;polystyrene production, general purpose;polystyrene, general purpose;RoW;;1
17749;polystyrene production, general purpose;polystyrene, general purpose;RER;;1
17750;polystyrene production, high impact;polystyrene, high impact;RoW;;1
17751;polystyrene production, high impact;polystyrene, high impact;RER;;1
17779;polyvinylidenchloride production, granulate;polyvinylidenchloride, granulate;RoW;;1
17780;polyvinylidenchloride production, granulate;polyvinylidenchloride, granulate;RER;;1
18717;soy-based resin production;polyester resin, unsaturated;RoW;;1
18718;soy-based resin production;polyester resin, unsaturated;US;;1
18903;styrene-acrylonitrile copolymer production;styrene-acrylonitrile copolymer;RoW;;1
18904;styrene-acrylonitrile copolymer production;styrene-acrylonitrile copolymer;RER;;1
19192;tetrachloroethylene production;tetrachloroethylene;RoW;;1
19193;tetrachloroethylene production;tetrachloroethylene;WEU;;1
19344;toluene diisocyanate production, ISOPA;toluene diisocyanate, ISOPA;RER;;1
23423;wood wool boards production, cement bonded;wood wool boards, cement bonded;RoW;;1
23424;wood wool boards production, cement bonded;wood wool boards, cement bonded;RER;;1
